facility_id,fc01,fc02,fc03,fc04,fc05,fc06,fc08,fc09,fc10,fc11,fc13,fc14,fc15,fc16,fc18,fc19,fc20,fc21,fc22,fc23,fc24,fc25,fc27,fc28,fc29,fc31,fc33,fc35,fc36,fc37,fc38,fc39,fc40,fc41,fc42,fc43,fc44,fc45,fc46,fc47,fc48,fc49,fc50,fc51,fc52,fc53,fc54,fc55,fc56,fc57
FA0000474,,1,1,,1,1,1,,1,,,,1,,,,,,1,,,2,,1,,,,,1,,,1,,,,,,,,1,1,,,1,,,,1,,
FA0000476,,,,,,1,,,1,,,,,1,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000481,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
FA0000484,,,,,,3,2,,,,1,,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,
FA0000486,,,2,,,1,1,2,,,,,1,,,,,,2,,,3,,1,1,,,,1,,,,2,,,,1,,,1,,,,1,,,,1,1,
FA0000487,,,,,,1,,,2,,,,1,,,,,,,,,,,1,,,,,,1,,,,1,,,,,1,1,,1,,1,,,,,,
FA0000493,,1,,,1,1,4,,,,1,,,2,,,1,,4,,,,,1,,,1,,,,,1,3,,,,,,,1,1,1,2,,1,,,1,1,
FA0000494,,,,,,1,,,1,,,,,,,,,,,,,1,,2,,,1,,1,,,,2,,,,,,,1,1,,1,,,,,1,,
FA0000500,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0000502,,,,,,,1,1,1,,,,,,,,,1,1,,,1,,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,
FA0000511,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0000515,,1,,,1,1,1,1,,,,,1,,,,,,1,,,2,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,
FA0000522,,,,,,2,,,,,,,,,,,,,1,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,
FA0000526,,,,,,2,,,1,,,,1,,,,,,1,,,,,1,,,1,,,,1,1,,,,,,,,,2,,,2,,,,,,
FA0000534,,,1,,,1,,,1,,,,1,,,,,,2,,,1,,2,,,1,,,,1,3,1,1,,,,,,1,,,,,,,1,1,,
FA0000535,,1,,,1,1,,,2,,,,1,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,1,1,,,,,,,,,
FA0000536,,,1,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,,2,1,,,1,,,,,,,1,,,,,,
FA0000538,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
FA0000541,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,
FA0000544,,1,1,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FA0000545,,,,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,1,,2,,,,,,,,,,,1,,,,,,
FA0000547,,,1,,,,,,1,,,,1,2,,,,,1,,,,,1,,,1,,2,,,,,1,,,1,,,1,,1,,,,,,1,,1
FA0000556,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
FA0000558,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
FA0000567,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,
FA0000572,,,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,,,
FA0000574,,1,,,1,1,1,1,,,,,,,,,,,1,,,1,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,
FA0000578,,,,,1,1,,,2,,,,1,,,,,,1,1,,,,2,,,1,1,,,,1,,,,,,,,,,,,1,,,,1,,
FA0000579,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
FA0000580,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,2,,1,,,,,,,,,,,,,,,,,,,
FA0000582,,,1,,,1,2,1,2,,,,1,,,,,1,1,,,1,,1,1,,1,,,,1,1,2,,,,,,,2,,,,1,,,,1,,
FA0000587,,1,,,1,,,,3,,,,2,,,,,,2,1,,,,,,,,,,1,1,2,1,,,,,,1,1,,,,,,,,2,,
